ORF,label,alpha_mean,alpha_std,alpha_range,alpha_missing_ratio,alpha_autocorr_lag1,alpha_autocorr_lag2,alpha_peak_count,alpha_ls_dominant_period,alpha_ls_max_power,alpha_ls_band_power,alpha_sin_amplitude,alpha_sin_freq,alpha_sin_phase,cdc15_mean,cdc15_std,cdc15_range,cdc15_missing_ratio,cdc15_autocorr_lag1,cdc15_autocorr_lag2,cdc15_peak_count,cdc15_ls_dominant_period,cdc15_ls_max_power,cdc15_ls_band_power,cdc15_sin_amplitude,cdc15_sin_freq,cdc15_sin_phase,cdc28_mean,cdc28_std,cdc28_range,cdc28_missing_ratio,cdc28_autocorr_lag1,cdc28_autocorr_lag2,cdc28_peak_count,cdc28_ls_dominant_period,cdc28_ls_max_power,cdc28_ls_band_power,cdc28_sin_amplitude,cdc28_sin_freq,cdc28_sin_phase,elu_mean,elu_std,elu_range,elu_missing_ratio,elu_autocorr_lag1,elu_autocorr_lag2,elu_peak_count,elu_ls_dominant_period,elu_ls_max_power,elu_ls_band_power,elu_sin_amplitude,elu_sin_freq,elu_sin_phase,cross_autocorr_lag1_mean,cross_autocorr_lag1_std,cross_autocorr_lag1_min,cross_autocorr_lag2_mean,cross_autocorr_lag2_std,cross_autocorr_lag2_min,cross_ls_band_power_mean,cross_ls_band_power_std,cross_ls_band_power_min,cross_ls_max_power_mean,cross_ls_max_power_std,cross_ls_max_power_min,cross_std_mean,cross_std_std,cross_std_min,n_experiments_high_autocorr,periodic_probability,incoming,name,description
YNR028W,0,0.0005555555555555,0.2551355243835502,0.95,0.0,0.2212910248599968,0.2002802315496111,6,76.04522613065326,0.5149943033720974,29.82509936259425,0.2103970887007644,0.0100962180332544,3.1888128767176245e-25,-0.00125,0.3982075725464463,1.49,0.0,0.5641390286237725,0.0845136892721587,5,129.49748743718592,0.4522977918693345,5.837863790812547,0.2762216617950956,0.0063656288653111,2.371431634091068e-30,0.000625,0.2911071269739028,1.03,0.0588235294117647,0.6505261618217091,0.0890025100173289,2,86.28140703517587,0.7388737935389319,25.953923615742813,0.1689307439944904,0.0058134739372697,1.2077881145560177e-46,-0.0007142857142857,0.2586079295468138,0.75,0.0,0.8214279692844592,0.5641267671782706,1,402.9648241206031,0.8736228508388424,0.4403517663129425,0.346946380738208,0.00250377190329,3.714543501291928,0.4786520717684928,0.1853675907396207,0.2212910248599968,0.1245988102796995,0.053546213821931,0.0845136892721587,20.538962256383204,10.51469519249308,5.837863790812547,0.568721962926788,0.1230079868251158,0.4522977918693345,0.3148167413012997,0.060767382150004,0.2551355243835502,2,0.9999974600386368,YNR028W,CPR8,"Peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; potential role in the secretory pathway; CPR8 has a paralog, CPR4, that arose from the whole genome duplication [Source:SGD;Acc:S000005311]"
YBL032W,0,0.0005555555555555,0.6009850453142391,2.03,0.0,0.7806858367458208,0.6378639829719319,3,64.19095477386935,0.6574723886768291,23.91260817397447,1.86049465644797e-13,0.0116430958868889,5.043458901094056e-12,-0.0033333333333332,2.3632792659541715,5.52,0.875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000625,0.4085717310032597,1.46,0.0588235294117647,0.4684291921926458,0.2425160040069262,4,85.12562814070351,0.6895802072942249,24.1827362827901,0.0948283983089395,0.0067418602814002,4.3608603209089005e-32,-3.568574007723718e-17,0.4911357100784728,1.5,0.0,0.8287516116252753,0.6901572189870424,3,486.7587939698493,0.8864590023958734,0.6140389348339549,0.6410900216799496,0.0019131119834628,4.491364278435627,0.4163716763128222,0.3208323369441471,0.0,0.2934599956596194,0.2628866459234683,0.0,16.031781485588187,11.336717793671712,0.0,0.4490175319903513,0.3177738042802579,0.0,1.1242786807572234,0.8796202053423657,0.4085717310032597,2,0.9999843121169008,YBL032W,HEK2,"RNA binding protein involved in asymmetric localization of ASH1 mRNA; represses translation of ASH1 mRNA, an effect reversed by Yck1p-dependent phosphoryation; regulates telomere position effect and length; similarity to hnRNP-K [Source:SGD;Acc:S000000128]"
YFL068W,0,0.001111111111111,0.4896584851697818,1.5699999999999998,0.0,0.4811876733482514,-0.1145006428928876,3,54.87688442211055,0.7462745862658094,18.30647867637579,0.5777538634894253,0.0169594497421637,1.1765398598988517e-15,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006249999999999,0.3869668711595348,1.44,0.0588235294117647,0.3244494237992988,-0.0398311956157041,3,77.03517587939697,0.6320793464293755,20.21310163251586,0.4370905297218369,0.0127206129193444,1.0163151512455151e-14,-0.0021428571428571,0.357034983708651,1.51,0.0,-0.0167975175410676,0.3388644008417442,3,298.94472361809045,0.3888963835827394,3.666285932780576,0.2077266026168954,0.0016666666666666,1.595602979704649e-29,0.2685456990491834,0.200381825650063,0.0,-0.0514439461695305,0.0474604487076006,-0.1145006428928876,12.839860102963884,9.112456981955448,0.0,0.4594513108983949,0.3282090477272225,0.0,0.2922084521097722,0.2108328350618077,0.0,2,0.9997297831778728,YFL068W,YFL068W,Putative protein of unknown function; SWAT-GFP and mCherry fusion proteins localize to the cytosol [Source:SGD;Acc:S000001826]
YDL009C,0,-1.2335811384723961e-17,0.4236612902884673,1.4300000000000002,0.0,0.4499363807627264,0.0024647927488595,4,62.49748743718592,0.5742548295490055,21.599049852593048,0.4228318158980917,0.0145395608132434,5.327760280434175e-23,0.0,0.73,1.46,0.9166666666666666,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018749999999999,0.3888158103459785,1.36,0.0588235294117647,0.3235840443420886,-0.2258367888910553,4,86.28140703517587,0.5005523697655885,21.10526963184669,0.3783495145659509,0.010716047152979,2.6677322912981425e-16,0.0007142857142857,0.2893703579871868,0.94,0.0,0.1942750910890662,-0.1815203069745539,3,264.2713567839196,0.3999844143559188,3.4456720200336948,0.2893146975505226,0.0037193662270965,3.2951355588296654,0.257840141701605,0.1894771441524743,0.0,-0.0744573320473986,0.1070461699969818,-0.2258367888910553,14.234773161479913,10.06752303020929,0.0,0.358269066438198,0.2551150800709423,0.0,0.5141590335448153,0.1532841456649202,0.3888158103459785,2,0.9950189834416552,YDL009C,YDL009C,Protein of unknown function; mRNA identified as translated by ribosome profiling data; SWAT-GFP and mCherry fusion proteins localize to the cytosol; partially overlaps the verified ORF YDL010W; YDL009C is not an essential gene [Source:SGD;Acc:S000002167]
YGL139W,0,-6.938893903907228e-18,0.2935037383824002,0.91,0.0,0.6340179960233687,0.2380427840037261,4,64.19095477386935,0.8129183226361096,33.64228287740059,0.1118495343843726,0.0105713696818525,8.944795408467756e-28,0.0008333333333333,0.4597546145016443,1.77,0.0,0.0374903889691705,0.4764313392085188,7,20.30150753768844,0.353977233787249,2.143907011839054,0.1311371683782959,0.0063513268539422,6.368914688928093e-09,0.0013333333333333,0.3485563879138575,1.31,0.1176470588235294,0.6289301398798726,0.1772119697069699,2,96.4321608040201,0.7885088679430012,37.4480532785009,0.2556722011225055,0.0072758193213875,1.72000891650641e-24,-9.417070298159809e-18,0.157298624097152,0.5,0.0,0.5474612901177748,0.6022590012339678,5,509.8743718592965,0.6746084747506406,1.3288165676581134,0.0803005923670432,0.0277934684155051,1.95763009587421e-40,0.4334795082908039,0.2800142955111118,0.0374903889691705,0.2972286976397382,0.1291260031930652,0.1772119697069699,24.411414389246847,15.821975976231196,2.143907011839054,0.6518014747887867,0.2108291792988029,0.353977233787249,0.3672715802659673,0.0691497518490915,0.2935037383824002,2,0.9882187242259752,YGL139W,FLC3,"Putative FAD transporter, similar to Flc1p and Flc2p; localized to the ER; FLC3 has a paralog, FLC1, that arose from the whole genome duplication [Source:SGD;Acc:S000003107]"
YDR523C,0,-0.0005555555555555,0.32913138582609,1.6,0.0,-0.1469850688613656,-0.4080085823327179,6,10.0,0.3336269747104439,4.60781757063366,0.2121464973036886,0.0210411298982726,0.8225851882747766,2.896233977283017e-17,0.6887985759718653,2.42,0.0416666666666666,0.3707981533895642,0.2034948632839375,6,110.95477386934672,0.3482104278132755,5.90605632460778,0.5439885790901027,0.0041061955791405,3.0963490775194824,-0.0005882352941176,0.6286256773426717,2.0700000000000003,0.0,0.7583639990318072,0.7005841273101828,5,240.0,0.6584472554530172,9.857630051856937,0.4897782493503496,0.0111123829652533,0.6655881258631628,1.1895246692412392e-17,0.2769476484825245,0.93,0.0,0.3826281764174743,-0.0060549891568788,3,402.9648241206031,0.5735740704461583,2.869374425644156,0.1253027909208965,0.0072856073972703,9.389358681974904e-23,0.3273923611866686,0.3708793881046594,-0.1469850688613656,0.1653568027538008,0.4533838202627713,-0.4080085823327179,6.7905013156994585,2.232609083367454,4.60781757063366,0.4467615526589122,0.1498027522036366,0.3336269747104439,0.5488518797135423,0.1572959334248013,0.32913138582609,2,0.9836582167774452,YDR523C,SPS1,"Putative protein serine/threonine kinase; localizes to the nucleus and cytoplasm; required for efficient spore packaging, prospore membrane development and closure and localization of enzymes involved in spore wall synthesis; interacts with and required for Ssp1p phosphorylation and turnover; member of the GCKIII subfamily of STE20 kinases; multiply phosphorylated on S/T residues; interacts with 14-3-3 proteins, Bmh1p and Bmh2p; expressed at the end of meiosis [Source:SGD;Acc:S000002931]"
YHR139C,0,-0.0005555555555555,0.1981153486179823,0.72,0.0,0.4051479069527111,0.2441902060936871,4,63.34422110552764,0.672041486549735,29.183339167202703,0.0649933411827073,0.0102112867637712,3.7204468188173096e-23,0.0004545454545454,0.458381314793771,1.51,0.0833333333333333,0.1754283289008061,0.2342069681092903,8,20.30150753768844,0.378285858414777,5.082207460340159,0.1435492460781239,0.0060980164825929,9.839390159389772e-20,-8.163404592832035e-18,0.6863886739775839,2.81,0.0,0.4833266256120433,0.192852741644328,3,131.35678391959797,0.3777571316582824,17.55426809347546,0.6222829209171261,0.0079721130200799,0.0738266391382109,-0.0007142857142857,0.4244065484501234,1.69,0.0,0.6781342802351612,0.5121593254474339,3,579.2211055276382,0.4154794144753333,2.3137619795958115,0.3288556742403276,0.0043996010409174,1.2192290109665882,0.3546342871551868,0.1306753218686346,0.1754283289008061,0.2237499719491018,0.0222245418481904,0.192852741644328,17.273271573672773,9.84125184011972,5.082207460340159,0.4760281588742647,0.138602521280108,0.3777571316582824,0.4476284457964457,0.1994817087825114,0.1981153486179823,2,0.9820106478103536,YHR139C,SPS100,"Protein required for spore wall maturation; expressed during sporulation; may be a component of the spore wall; expression also induced in cells treated with the mycotoxin patulin; SPS100 has a paralog, YGP1, that arose from the whole genome duplication [Source:SGD;Acc:S000001181]"
YOR284W,0,-0.0016666666666666,0.3322858541811386,1.0,0.0,0.2532015512458896,0.0441597459245594,4,92.97989949748744,0.2970882391820094,21.848384304802803,0.2680053571850034,0.0109357639152753,2.03446181030172e-29,-0.0004166666666666,0.4488548314569224,1.84,0.0,0.2337081500512787,0.3691904508736475,6,20.30150753768844,0.3491962450995008,2.799595957028864,0.817502769098973,0.0016666666666666,2.6910251683701967,-0.0006666666666666,0.5984030600040596,2.27,0.1176470588235294,0.6352722715071697,0.165863269317928,2,83.36683417085426,0.6291318131284546,24.736487515181445,0.7109342098530009,0.0116612629006703,1.532054348277059e-12,7.930164461608259e-18,0.2718980901524897,1.06,0.0,0.2730481312034056,-0.0735042767007368,3,336.50753768844226,0.4451722049171462,1.858947523318205,0.1322575904257309,0.0104979000292435,6.707220240233524e-06,0.374060657601446,0.1848758657441224,0.2337081500512787,0.1930711553720449,0.1340806761806131,0.0441597459245594,16.46148925900437,9.732104311140262,2.799595957028864,0.4251387658033216,0.1458050835600272,0.2970882391820094,0.4598479152140401,0.108919627024144,0.3322858541811386,1,0.9803207834973036,YOR284W,HUA2,Cytoplasmic protein of unknown function; computational analysis of large-scale protein-protein interaction data suggests a possible role in actin patch assembly [Source:SGD;Acc:S000005810]
YDR518W,0,-0.0011111111111111,0.2898829052659575,0.95,0.0,0.4480797750183238,0.2362635305678296,3,59.11055276381909,0.4756907394683436,16.904579195173596,0.211244881396627,0.0146003011011949,1.4270727609458962e-21,0.0008333333333333,0.282295894802284,1.28,0.0,0.226926943533212,0.4269309387212704,10,106.83417085427136,0.5470926002298223,8.871350347421332,0.3020694410339644,0.0094472726778831,4.443502981864324,0.0,0.3161882350752475,1.09,0.0588235294117647,0.0859129379164882,-0.2229418992970843,5,97.83919597989949,0.3870204884436708,13.319115856764515,0.2853096025885963,0.0093780933370576,2.46074195950449e-24,-0.0014285714285714,0.3352367424215128,1.03,0.0,0.8598924438375285,0.7461241391395019,3,558.9949748743719,0.8034818402406964,0.928991037619624,6.082769718942823e-15,0.001666666666681,7.085516004179605e-22,0.2536398854893413,0.1490556728766146,0.0859129379164882,0.1467508566640052,0.2727551594263824,-0.2229418992970843,13.031681799786485,3.285843897988555,8.871350347421332,0.4699346093806122,0.0654757971472905,0.3870204884436708,0.2961223450478297,0.0145228702142125,0.282295894802284,1,0.9743575282375148,YDR518W,EUG1,"Protein disulfide isomerase of the endoplasmic reticulum lumen; EUG1 has a paralog, PDI1, that arose from the whole genome duplication; function overlaps with that of Pdi1p; may interact with nascent polypeptides in the ER [Source:SGD;Acc:S000002926]"
YBL016W,0,-0.0005555555555555,0.6887708232159521,3.16,0.0,0.3182962982293087,-0.2305926571068532,5,42.175879396984925,0.2940653443601045,12.639312505489649,0.4577589389053553,0.0092308232375963,2.097185047635288,0.0,0.3967646937697736,1.33,0.25,0.5801698386734931,0.4645813374120213,5,124.9748743718593,0.5004107213074468,13.105630790472574,0.4292596311879469,0.0078133687356937,2.116741073224717,3.469446951953614e-18,0.199655954081014,0.6799999999999999,0.0588235294117647,-0.373048285747425,-0.0444194886109834,5,33.11557788944724,0.3473943304627228,3.9863468832068913,0.1142602456426734,0.0090795832399049,3.1328660452423938,-1.982541115402065e-18,0.2649797835954391,1.17,0.0,0.0057666336727955,0.1372022171874976,3,70.678391959799,0.3406779808427239,3.011089575296892,0.113871978494927,0.0016666666666677,4.904009992742567e-30,0.1751392837184589,0.4021000259337453,-0.373048285747425,0.0631897305647282,0.2938270791951584,-0.2305926571068532,9.91043005972304,4.193283065207863,3.9863468832068913,0.380623465376758,0.0874556466720381,0.2940653443601045,0.4283971570222465,0.2009291721822828,0.199655954081014,2,0.9727120205051172,YBL016W,FUS3,"Mitogen-activated serine/threonine protein kinase involved in mating; phosphoactivated by Ste7p; substrates include Ste12p, Far1p, Bni1p, Sst2p; inhibits invasive growth during mating by phosphorylating Tec1p, promoting its; inhibits recruitment of Ste5p, Cdc42p-mediated asymmetry and mating morphogenesis [Source:SGD;Acc:S000000112]"
