ORF,elu_mean,elu_std,elu_range,elu_missing_ratio,elu_autocorr_lag1,elu_autocorr_lag2,elu_peak_count,elu_ls_dominant_period,elu_ls_max_power,elu_ls_band_power,elu_sin_amplitude,elu_sin_freq,elu_sin_phase
YAL001C,-0.0014285714285714245,0.2336620619263501,0.85,0.0,-0.21472154974836347,0.3028859520154808,4,64.89949748743719,0.38432991428298857,4.200584335912621,0.156627529656179,0.004769337461096483,1.0262729765824499
YAL002W,0.0014285714285714355,0.14559518942490327,0.5599999999999999,0.0,0.37960392524299685,0.2952110264896285,4,420.30150753768845,0.5632147680097228,2.084615141392613,0.15454624593357383,0.002367483044839625,1.0431314246158072
YAL003W,0.0007692307692307728,0.4970599954263615,1.94,0.07142857142857142,0.559896539058938,-0.24542611146996116,4,498.3165829145729,0.3461461252142506,2.5245200116596993,0.25763307914209194,0.0016666666666672848,9.990425162179086e-26
YAL004W,-0.000714285714285703,0.4242550493969111,1.4500000000000002,0.0,0.428669892242363,-0.27164014955435495,3,417.41206030150755,0.4707839167766363,1.9125210384850575,0.4083950060634493,0.0024293064209536855,2.031338996320937
YAL005C,-0.0015384615384615228,0.41148597796179104,1.48,0.07142857142857142,0.44695985782967207,-0.13741755182790627,2,154.47236180904522,0.5273745374236649,1.2522261600532998,0.46243899072381967,0.0016666666666668554,3.2103093846717012
YAL007C,0.0007142857142857109,0.2453121709668923,0.8,0.0,0.4800891957086467,0.034034480188177826,3,443.4170854271357,0.5856664821124147,2.003624150919125,0.06807908524631312,0.007279661865835791,7.076958784644212e-05
YAL008W,1.1895246692412391e-17,0.29004925690056754,0.99,0.0,-0.54780667554815,0.1777378516574869,4,18.668341708542712,0.5823486593470308,5.088981372306377,0.15553511140913673,0.004604416585895899,1.6359686338692176
YAL009W,0.0007142857142857209,0.30454800901650686,1.1400000000000001,0.0,0.5336883546893013,0.30877301250798583,3,452.0854271356784,0.6151399769809455,1.943291190614667,0.3287836062304582,0.0021894485587621334,0.8610692186697211
YAL010C,-0.0007692307692307817,0.41538603988359735,1.6,0.07142857142857142,0.23459155381065214,-0.5329795539341479,2,137.1356783919598,0.5047881988742747,2.43731614876809,0.35641327963404784,0.0041294903224485995,1.6176849437307825
YAL011W,-0.000714285714285715,0.12162379265084407,0.43000000000000005,0.0,0.272795630601528,-0.5139275183321147,2,148.69346733668343,0.6597369768510322,1.3170002744531064,0.0660929213064631,0.0026832595249808573,1.4602357898792206e-22
YAL012W,-0.000769230769230772,0.4272535103778288,1.78,0.07142857142857142,-0.35855758023110307,0.20138898121517135,4,73.5678391959799,0.36865408897637236,4.618613446222697,0.10665296024650854,0.004981216926701833,1.1942395703426997e-31
YAL013W,-0.0007142857142857188,0.24898262376875926,1.01,0.0,-0.27115419538803853,-0.4139919622754077,3,105.35175879396985,0.3941072759111174,5.576350199654396,0.13920023202912135,0.001666666666695468,2.0080761228007318
YAL014C,0.000714285714285709,0.21245047442082277,0.77,0.0,0.2115132908273883,-0.1580086912329082,3,122.68844221105529,0.4324711550222467,3.1681193895937225,0.19316783104643698,0.0022094497399534224,2.812092597389681
YAL015C,0.0014285714285714411,0.2389218982625656,0.73,0.0,0.19870585487923312,-0.4975434643786419,3,24.447236180904525,0.7038917509115286,2.20330393027333,0.07030390390163532,0.0037978068704575966,4.358625565055152e-22
YAL016W,-1.982541115402065e-18,0.3927740171796355,1.37,0.0,-0.09380967431091022,-0.13624199007368368,4,82.23618090452261,0.4736942367236329,4.084811490983238,0.29400500503121046,0.0026546111648858665,2.645348630295327
YAL017W,-0.0014285714285714477,0.4372945581781746,1.8399999999999999,0.0,0.3250649357177148,0.0785241285918015,3,348.06532663316585,0.4994148004955537,3.015168474974953,0.4509388015881487,0.002907496601975581,1.9725526437163863
YAL018C,-0.0007142857142857308,0.4274085413564986,1.65,0.0,0.07020603565666875,0.42949712005094354,4,414.52261306532665,0.44155715125034734,3.334394083577291,0.40325900701931394,0.002413347516252579,0.6722048157973738
YAL019W,0.0007142857142857149,0.39586188583022397,1.7000000000000002,0.0,0.5701637651866532,0.22091771379081077,2,420.30150753768845,0.6421634555305809,1.4498862368727599,0.0029719628223808625,0.004755328483475383,1.0349668352155375e-11
YAL020C,7.93016446160826e-18,0.2704493615131253,0.9299999999999999,0.0,-0.32068998288830836,-0.3607620539097227,4,93.79396984924624,0.6103291381118329,6.0359747540489925,0.06021670655502385,0.0016666666666668552,1.2025774943165146e-31
YAL021C,-0.0007142857142857248,0.194255512358421,0.76,0.0,-0.31827446159683637,-0.05330192151017256,4,82.23618090452261,0.6335567603145585,4.8070250296463195,0.0385643361290828,0.005039858748498469,2.0700472655177143e-07
YAL022C,0.0007142857142857743,0.7001271750364285,2.65,0.0,0.7582586492689176,0.7133747777407876,3,538.7688442211056,0.8008317149303158,0.994814319562241,0.21981263113507188,0.004075065367983025,1.3354225892529221e-05
YAL023C,-0.0007142857142857234,0.551601101802928,1.79,0.0,0.8144371308143593,0.7107769819259873,3,483.86934673366835,0.8246452306942299,0.729504766448617,1.6336596509532444e-16,0.04999294443104241,2.4595064979259456
YAL024C,-0.0007142857142857159,0.24423245033352625,0.93,0.0,0.19250428447659626,0.07989409062806477,3,284.49748743718595,0.38469213520625806,2.314012367850527,0.2011917787526149,0.006697036869087661,2.0584366317883265
YAL025C,-1.586032892321652e-17,0.5250170065272716,2.13,0.0,0.6624934020452836,0.1557021963417294,2,371.1809045226131,0.6610338365733437,0.8143365233197228,0.6127276747405828,0.03057917978948382,4.176243881138955
YAL026C,0.0007692307692307956,0.4056231964703115,1.44,0.07142857142857142,0.055176621814781765,0.08525801385388947,4,168.91959798994975,0.39870925084514997,3.310131332946173,0.18144834574474009,0.004970401772888201,3.4009703287134977e-13
YAL027W,-0.0007142857142857209,0.19524578962770733,0.72,0.0,0.17061679713104178,-0.0015301958221637382,3,414.52261306532665,0.40285173285305664,3.4309248148470184,0.17553267655379107,0.002426205844640483,2.5939592406995975
YAL028W,1.982541115402065e-18,0.26210684844162313,1.1400000000000001,0.0,-0.4122980206703308,-0.31173068831174966,3,116.90954773869348,0.4407626211911714,5.195550668398346,0.1490728526191574,0.0033570348954620236,2.2648950325810984
YAL029C,0.0007692307692307699,0.33844580383006306,1.23,0.07142857142857142,-0.006013875960312976,-0.1488012497114852,4,114.02010050251258,0.4128870629336891,4.5053266523972555,0.059965206855996135,0.00472220732979756,6.176480458169128e-11
YAL030W,0.0007142857142857219,0.2624463016018511,1.08,0.0,0.027907650095722904,0.12404250759248403,2,105.35175879396985,0.4490822724112454,4.703846035453532,0.25093405773866656,0.001666666666666667,1.819558252748889
YAL031C,1.2810265668751807e-17,0.27953257688230465,0.9199999999999999,0.07142857142857142,-0.10145816088770551,0.12848375085545177,3,59.12060301507538,0.34821919125181583,4.543626648132254,0.2666861777870919,0.001666666666667826,2.9461941390576545
YAL032C,0.000714285714285708,0.21611717343390652,0.8999999999999999,0.0,-0.1350439805812761,-0.1723946509370452,3,108.24120603015076,0.4773164040122077,5.454334784833529,0.15770360650758214,0.0016666666666666807,1.8429492561917977
YAL033W,-4.270088556250602e-18,0.2392616848685845,0.98,0.07142857142857142,0.15411700133980744,-0.37304787681405815,2,108.24120603015076,0.5729038844842342,5.028958861790719,0.018753715811614204,0.004530370155734531,2.219713931883979e-11
YAL034C,-0.000714285714285707,0.3916351123488416,1.8199999999999998,0.0,0.15215542473929672,-0.49701519689172613,2,119.79899497487438,0.2995131327564389,3.8468815004460346,0.2677496953207082,0.0027823381738208875,2.1329060195341643
YAL035C-A,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
YAL035W,0.0007142857142857188,0.2671399923452198,0.94,0.0,0.6608345567828738,0.37051933366855266,3,408.74371859296485,0.7466027848501116,1.0735639663711956,0.37269369775790145,0.0016666666666666679,8.030694772717738e-27
YAL036C,7.93016446160826e-18,0.5157103284375277,2.05,0.0,0.45771518020368596,0.1804998018774636,5,327.8391959798995,0.4580948716633308,1.5091326366842641,0.40506854916608215,0.0016666666666667485,3.4882773950139386e-33
YAL037W,-0.0007142857142857169,0.16416299764538406,0.61,0.0,0.055723889531379626,-0.1551510156396489,3,171.80904522613065,0.40608018335136636,2.8651842631969258,0.09299197631203025,0.004735889371856643,6.037835596473912e-08
YAL038W,-0.000714285714285707,0.4141680867493688,1.6,0.0,0.34807668821483084,-0.202720933437075,3,313.391959798995,0.5255026671574283,1.6695523643056795,0.30338319095455885,0.0025386280225226767,6.420259438826999e-22
YAL039C,-0.0007142857142857333,0.3061153910750997,1.04,0.0,0.17723084683094267,-0.25474841964278816,4,128.4673366834171,0.5239998408549524,2.9700662342887307,0.12348442561596674,0.0038286470936996593,6.993119201192981e-23
YAL040C,-0.0007142857142857308,0.3561794147760424,1.21,0.0,0.20532976094280997,0.13082520031578065,5,235.37688442211058,0.4702862061781404,2.3730633695124115,0.25897533181490207,0.00356110431338511,2.5602098806286517e-34
