ORF,alpha_mean,alpha_std,alpha_range,alpha_missing_ratio,alpha_autocorr_lag1,alpha_autocorr_lag2,alpha_peak_count,alpha_ls_dominant_period,alpha_ls_max_power,alpha_ls_band_power,alpha_sin_amplitude,alpha_sin_freq,alpha_sin_phase
YAL001C,-0.0005882352941176443,0.31513714266192283,1.21,0.05555555555555555,-0.1546507877452684,0.21290011951395002,5,14.233668341708542,0.38042546866292465,4.986100924560545,0.2365749347867874,0.0034493271977236507,4.570999538752322
YAL002W,-0.0005555555555555561,0.23195958034446484,0.94,0.0,-0.19575223168800082,-0.5707729434668134,5,26.93467336683417,0.49288039548303836,1.733754234503167,0.05853376184902084,0.011500224738632046,0.20032035726939912
YAL003W,-0.001111111111111109,0.33725837258182817,1.2799999999999998,0.0,0.11643431416620145,0.4140608680575143,5,170.0326633165829,0.3480485109758345,11.411681381837369,0.19232590714089046,0.04686380209536408,2.6448894131364393
YAL004W,-0.0016666666666666661,0.28898769677771563,1.24,0.0,0.00863081259759024,0.15375280682617298,5,26.93467336683417,0.35302666930167975,19.07045887589828,0.2894837252695581,0.0047728478146665705,4.861821501918262e-14
YAL005C,-0.0005555555555555483,0.34067697672301805,1.21,0.0,-0.10565915548477753,0.3240475404245088,6,13.386934673366834,0.3584433199221002,17.31085471450644,1.3378076606029465,0.0016666666666675602,0.7865490483374603
YAL007C,-0.0016666666666666696,0.2910374164566779,1.0899999999999999,0.0,0.36830923630050294,0.08960154188827481,5,62.497487437185924,0.5799371187410988,21.894984595021022,0.11267713725791818,0.01240920944381486,5.607029542566043e-28
YAL008W,-0.0011111111111111228,0.3453482765249675,1.24,0.0,-0.4349887954299982,0.4659542489502222,6,14.233668341708542,0.49708696260924534,10.640982258065733,0.16056289913248678,0.008685699257332622,3.3236550220531358e-22
YAL009W,0.0005555555555555576,0.22018861162957098,0.73,0.0,-0.11636175714264092,-0.29738441230207235,5,31.168341708542712,0.44042541903897914,4.262930176650736,0.0422162856741123,0.011178621177357937,2.6738841004531355e-15
YAL010C,-0.0005555555555555437,0.3121159368322793,1.22,0.0,-0.08792689528913748,-0.22068822975312838,4,33.70854271356784,0.3774401615084152,5.4964218010149155,1.0102595354459586e-14,0.01172264500560039,0.0007512538247722671
YAL011W,-0.0022222222222222135,0.36366277962413285,1.47,0.0,0.18759132209320475,-0.3371389262462924,3,26.93467336683417,0.3467756058211437,6.182471150236177,0.00740292190285094,0.012254996655582622,1.7395609845093518e-17
YAL012W,0.000555555555555553,0.31484515104381466,1.02,0.0,0.34228740748458036,0.17380606331884355,5,68.42462311557789,0.5585851923773649,27.626850432126208,0.38462200071483055,0.0032190285595638927,6.789740158795742e-15
YAL013W,0.0,0.25190386173212104,0.94,0.0,0.08584283800087718,0.056055016032081045,4,28.628140703517587,0.29712772454530195,8.542643072479407,0.8440654157970916,0.0018491918652346763,0.4978365762082735
YAL014C,-0.0005555555555555576,0.16754675043177325,0.6,0.0,0.22417921409835226,0.18985621444211156,5,62.497487437185924,0.3099254345217501,9.915233773986449,0.016836203804184983,0.011152328771380539,3.80190512659715e-11
YAL015C,-0.0011111111111111152,0.19419031011667362,0.65,0.0,-0.03436113422074325,-0.07780985889880121,5,60.80402010050251,0.29943922760084524,15.291014187977385,0.09538260680280569,0.009748335603904505,1.7207418484935982e-28
YAL016W,0.0011111111111111014,0.3471453248183099,1.6400000000000001,0.0,-0.14016025424915907,0.20675500222118764,7,117.53517587939697,0.22990541244274432,11.638752708700185,0.23766080280898894,0.008709094326636408,2.278593893668286
YAL017W,-0.0011764705882352936,0.2263490888751313,0.81,0.05555555555555555,0.020948933733661572,-0.06402418877674092,4,69.54773869346734,0.33301131092583347,13.66840100248281,0.11157177310935695,0.011463959193260225,3.8578123326803403e-13
YAL018C,0.0005555555555555561,0.46727902944389094,2.18,0.0,-0.20660076598914257,-0.08375048767769602,5,11.693467336683417,0.3105958428411629,6.151338400481977,7.034560175618066e-16,0.001666673253947607,6.05234937957377e-13
YAL019W,0.0011111111111111183,0.27834608531444543,1.2999999999999998,0.0,0.3602220731496827,0.19423309397391,6,160.7185929648241,0.339127844391937,11.34397138635087,3.604925246957963e-16,0.0016666682216390407,1.5125365491075242
YAL020C,0.0005555555555555625,0.3600690091607784,1.92,0.0,-0.3610146172741353,0.08556003328553392,5,13.386934673366834,0.3401592261706061,5.016716836831678,0.028857596569990582,0.010368824623751544,1.2155109904647849e-12
YAL021C,0.0011111111111111014,0.1409447838650492,0.5,0.0,0.2773463864462186,-0.308601816882433,4,58.26381909547738,0.4756862222751059,13.244155662765085,0.06873013954296633,0.01337595811426854,4.528620363852998e-15
YAL022C,0.0005555555555555622,0.2903345239589483,1.13,0.0,0.367510827678265,-0.02905844844855453,3,32.861809045226124,0.33903299989676805,13.559431325471344,0.22700879440407032,0.019053916809068493,3.81706337580632e-22
