ORF,label,alpha_mean,alpha_std,alpha_range,alpha_missing_ratio,alpha_autocorr_lag1,alpha_autocorr_lag2,alpha_peak_count,alpha_ls_dominant_period,alpha_ls_max_power,alpha_ls_band_power,alpha_sin_amplitude,alpha_sin_freq,alpha_sin_phase,cdc15_mean,cdc15_std,cdc15_range,cdc15_missing_ratio,cdc15_autocorr_lag1,cdc15_autocorr_lag2,cdc15_peak_count,cdc15_ls_dominant_period,cdc15_ls_max_power,cdc15_ls_band_power,cdc15_sin_amplitude,cdc15_sin_freq,cdc15_sin_phase,cdc28_mean,cdc28_std,cdc28_range,cdc28_missing_ratio,cdc28_autocorr_lag1,cdc28_autocorr_lag2,cdc28_peak_count,cdc28_ls_dominant_period,cdc28_ls_max_power,cdc28_ls_band_power,cdc28_sin_amplitude,cdc28_sin_freq,cdc28_sin_phase,elu_mean,elu_std,elu_range,elu_missing_ratio,elu_autocorr_lag1,elu_autocorr_lag2,elu_peak_count,elu_ls_dominant_period,elu_ls_max_power,elu_ls_band_power,elu_sin_amplitude,elu_sin_freq,elu_sin_phase,cross_autocorr_lag1_mean,cross_autocorr_lag1_std,cross_autocorr_lag1_min,cross_autocorr_lag2_mean,cross_autocorr_lag2_std,cross_autocorr_lag2_min,cross_ls_band_power_mean,cross_ls_band_power_std,cross_ls_band_power_min,cross_ls_max_power_mean,cross_ls_max_power_std,cross_ls_max_power_min,cross_std_mean,cross_std_std,cross_std_min,n_experiments_high_autocorr
YAL001C,0,-0.0005882352941176,0.3151371426619228,1.21,0.0555555555555555,-0.1546507877452684,0.21290011951395,5,14.233668341708542,0.3804254686629246,4.986100924560545,0.2365749347867874,0.0034493271977236,4.570999538752322,2.312964634635743e-18,0.2687160831311243,1.03,0.0,0.2230639517330385,0.1459788602153416,8,90.35175879396984,0.3154239317404378,6.44413099046554,0.1426538283355787,0.0038536041697541,3.0688142055433034,1.6326809185664068e-18,0.3975365318026094,1.62,0.0,0.5373365616981763,0.2374136140041529,3,176.4321608040201,0.5032285704329067,7.53143387941112,0.1834264775041301,0.0107192963690597,6.757105318632944e-08,-0.0014285714285714,0.2336620619263501,0.85,0.0,-0.2147215497483634,0.3028859520154808,4,64.89949748743719,0.3843299142829885,4.200584335912621,0.156627529656179,0.0047693374610964,1.02627297658245,0.2019165752286488,0.2828981343136369,-0.1546507877452684,0.19876419791114816,0.03864321207987724,0.1459788602153416,6.320555264812401,1.0427953403361288,4.986100924560545,0.39969265694542305,0.07787196323383289,0.3154239317404378,0.32712991919855217,0.053270047968026896,0.2687160831311243,1
YAL002W,0,-0.0005555555555555,0.2319595803444648,0.94,0.0,-0.1957522316880008,-0.5707729434668134,5,26.93467336683417,0.4928803954830383,1.733754234503167,0.0585337618490208,0.011500224738632,0.2003203572693991,-9.251858538542969e-18,0.4066666666666666,1.27,0.25,-0.5687094400833933,0.5630958722836613,8,20.452261306532662,0.6985949053196651,1.9500679707711883,0.0398388793397517,0.0094697466263214,0.3684324247294246,1.734723475976807e-18,0.386797750769055,1.6,0.0588235294117647,0.1945888234486032,-0.2513698230363277,5,37.73869346733668,0.2848754214094404,11.913380317866912,0.3053460300524149,0.0095005367273789,2.5097259900920847,0.0014285714285714,0.1455951894249032,0.5599999999999999,0.0,0.3796039252429968,0.2952110264896285,4,420.3015075376885,0.5632147680097228,2.084615141392613,0.1545462459335738,0.0023674830448396,1.0431314246158072,-0.18995761610759698,0.31164214836361465,-0.5687094400833933,-0.0863489647398266,0.4773807254784741,-0.5707729434668134,5.199067507713756,4.748557345311285,1.733754234503167,0.4921169074040479,0.1689011348437713,0.2848754214094404,0.34180799926006217,0.07809694747952281,0.2319595803444648,0
YAL003W,0,-0.0011111111111111,0.3372583725818281,1.2799999999999998,0.0,0.1164343141662014,0.4140608680575143,5,170.0326633165829,0.3480485109758345,11.411681381837369,0.1923259071408904,0.046863802095364,2.6448894131364398,4.827056628805028e-18,0.3162965037126866,1.03,0.0416666666666666,0.0978241890218395,0.036785278692053,6,20.30150753768844,0.4266316002319079,2.257068586990811,0.1254599927358544,0.0061071217539646,7.256628341096808e-05,0.0005882352941176,0.8631302170740504,3.88,0.0,-0.351768007294663,0.2985605663048037,6,23.86934673366834,0.4847523489395911,6.920988218163554,0.4323557181097585,0.008192847091799,7.381469216377435e-13,0.0007692307692307,0.4970599954263615,1.94,0.0714285714285714,0.559896539058938,-0.2454261114699611,4,498.3165829145729,0.3461461252142506,2.5245200116596997,0.2576330791420919,0.0016666666666672,9.990425162179086e-26,-0.04583650136887404,0.2164596173700582,-0.351768007294663,0.24980223768479035,0.15783377023549586,0.036785278692053,6.863246062330578,3.7375780458573487,2.257068586990811,0.41981082004911113,0.05601712303829834,0.3480485109758345,0.5055616977895218,0.25298390525106473,0.3162965037126866,0
YAL004W,0,-0.0016666666666666,0.2889876967777156,1.24,0.0,0.0086308125975902,0.1537528068261729,5,26.93467336683417,0.3530266693016797,19.07045887589828,0.2894837252695581,0.0047728478146665,4.861821501918262e-14,1.2335811384723961e-17,1.1290753345597055,3.72,0.25,0.4967159140505035,0.9028054728680254,8,260.85427135678395,0.6576139347732104,4.334359274261347,0.6349113689266933,0.0094888444350215,0.5629669180826119,0.0006666666666666,0.7020015827775762,2.82,0.1176470588235294,0.5734254623604034,0.5685806092502024,4,182.8643216080402,0.5675476247327148,13.983427944958704,5.263308258831582,0.0016666666666891,3.797126490002959,-0.0007142857142857,0.4242550493969111,1.4500000000000002,0.0,0.428669892242363,-0.2716401495543549,3,417.4120603015076,0.4707839167766363,1.9125210384850573,0.4083950060634493,0.0024293064209536,2.031338996320937,0.35959072966949907,0.25013427893009527,0.0086308125975902,0.5417129629814669,0.3063890521739946,0.1537528068261729,12.462748698372778,6.111328655079237,4.334359274261347,0.5260627429358683,0.12776044545719129,0.3530266693016797,0.706688204704999,0.3429803523112745,0.2889876967777156,2
YAL005C,0,-0.0005555555555555,0.340676976723018,1.21,0.0,-0.1056591554847775,0.3240475404245088,6,13.386934673366834,0.3584433199221002,17.31085471450644,1.3378076606029463,0.0016666666666675,0.7865490483374603,2.896233977283017e-17,1.26947781116626,3.99,0.0416666666666666,0.7874316889687313,0.8750621336176133,7,349.94974874371854,0.8215844459366131,0.9081731560238684,1.553260800418652,0.0027814555479875,3.3639545286445456,-0.0006249999999999,0.822712501044563,2.54,0.0588235294117647,0.6437725099593589,0.7033259603052393,6,205.32663316582912,0.7076375647815251,9.018814189044802,5.038919317890452,0.0016666666666667,3.668557992123292,-0.0015384615384615,0.411485977961791,1.48,0.0714285714285714,0.446959857829672,-0.1374175518279062,2,154.47236180904522,0.5273745374236649,1.2522261600532998,0.4624389907238196,0.0016666666666668,3.210309384671701,0.4418483478144375,0.3915633959357596,-0.1056591554847775,0.6341452114491205,0.23020824266615747,0.3240475404245088,9.079280686525037,6.696503203176725,0.9081731560238684,0.6292217768800795,0.19703925581069895,0.3584433199221002,0.8109557629779469,0.37927247301739053,0.340676976723018,2
YAL007C,0,-0.0016666666666666,0.2910374164566779,1.09,0.0,0.3683092363005029,0.0896015418882748,5,62.49748743718592,0.5799371187410988,21.894984595021025,0.1126771372579181,0.0124092094438148,5.607029542566043e-28,0.0005555555555555,0.3795241497545493,1.58,0.25,0.0781331969717317,0.2566505972164327,5,118.4422110552764,0.3800254918099294,12.01073109332934,0.3005672989405204,0.0068839574360734,2.597197376632238e-16,0.0012499999999999,0.3491574680570358,1.25,0.0588235294117647,-0.2463278985315143,-0.231740540599413,6,37.73869346733668,0.4135424080684322,5.938714138255317,0.1906443522933729,0.0115308251400986,4.9171968648125535e-19,0.0007142857142857,0.2453121709668923,0.8,0.0,0.4800891957086467,0.0340344801881778,3,443.4170854271357,0.5856664821124147,2.003624150919125,0.0680790852463131,0.0072796618658357,7.076958784644212e-05,0.06670484491357344,0.25105465182134046,-0.2463278985315143,0.038170532835098164,0.20267434863747152,-0.231740540599413,13.28147660886856,6.575800957364348,5.938714138255317,0.4578350062064868,0.08741678074195731,0.3800254918099294,0.33990634475608766,0.036712059364548175,0.2910374164566779,1
YAL008W,0,-0.0011111111111111,0.3453482765249675,1.24,0.0,-0.4349887954299982,0.4659542489502222,6,14.233668341708542,0.4970869626092453,10.640982258065732,0.1605628991324867,0.0086856992573326,3.323655022053136e-22,0.0004347826086956,0.4019677497432454,1.5499999999999998,0.0416666666666666,-0.2819179624705229,0.4165111301486581,8,20.30150753768844,0.5157250291995841,1.7773399831410177,0.2391644388391749,0.0035500712594456,3.0225346160596205,-1.6851599480917553e-17,0.6270110502557807,2.06,0.1764705882352941,0.4422666275453957,0.3753351105956738,4,103.46733668341707,0.4785883074165157,20.42720105810444,0.6272207222930917,0.0095947580228739,1.0622649352366471,1.1895246692412392e-17,0.2900492569005675,0.99,0.0,-0.54780667554815,0.1777378516574869,4,18.668341708542712,0.5823486593470308,5.088981372306377,0.1555351114091367,0.0046044165858958,1.6359686338692176,-0.09154671011837512,0.3826009057111846,-0.4349887954299982,0.41926682989818476,0.03704638956643729,0.3753351105956738,10.948507766437062,7.616878559383025,1.7773399831410177,0.497133433075115,0.015161038790848179,0.4785883074165157,0.45810902550799787,0.12164802138356468,0.3453482765249675,1
YAL009W,0,0.0005555555555555,0.2201886116295709,0.73,0.0,-0.1163617571426409,-0.2973844123020723,5,31.168341708542712,0.4404254190389791,4.262930176650736,0.0422162856741123,0.0111786211773579,2.6738841004531355e-15,0.0004347826086956,0.330565763513951,1.77,0.0416666666666666,-0.0161077760001704,0.1046432298832545,7,147.48743718592965,0.2082932454332522,3.687655562869157,0.1638986994215582,0.0049022088984789,1.641349242677277e-17,3.469446951953614e-18,0.423408785926792,1.37,0.0588235294117647,-0.1506201491675072,0.5279248414624496,4,20.402010050251256,0.3279692800835684,5.490955377371108,0.2210217739709342,0.0166926099558741,2.3305958231437844,0.0007142857142857,0.3045480090165068,1.14,0.0,0.5336883546893013,0.3087730125079858,3,452.0854271356784,0.6151399769809455,1.943291190614667,0.3287836062304582,0.0021894485587621,0.8610692186697211,-0.09436322743677283,0.057075074044000376,-0.1506201491675072,0.11172788634787727,0.33696833219681466,-0.2973844123020723,4.480513705630334,0.752099062317416,3.687655562869157,0.32556264818526653,0.0947828409701189,0.2082932454332522,0.3247210536901046,0.08306716272608149,0.2201886116295709,0
YAL010C,0,-0.0005555555555555,0.3121159368322793,1.22,0.0,-0.0879268952891374,-0.2206882297531283,4,33.70854271356784,0.3774401615084152,5.496421801014916,1.0102595354459586e-14,0.0117226450056003,0.0007512538247722,-9.654113257610057e-18,0.4044319688047723,1.29,0.0416666666666666,-0.1767153721192075,0.1554554404509138,8,20.30150753768844,0.5321099680797602,2.585311830041958,0.0940195046620856,0.0060160588213911,0.0446034072171461,-0.000625,0.3311243865603981,1.5499999999999998,0.0588235294117647,0.0461372816066033,-0.2534522409265658,4,70.10050251256281,0.3319448667895133,10.166308528776325,0.1874944832158875,0.0064442559049784,2.612841405608253,-0.0007692307692307,0.4153860398835973,1.6,0.0714285714285714,0.2345915538106521,-0.5329795539341479,2,137.1356783919598,0.5047881988742747,2.43731614876809,0.3564132796340478,0.0041294903224485,1.6176849437307823,-0.0728349952672472,0.09160294901680141,-0.1767153721192075,-0.10622834340959343,0.18552119763647457,-0.2534522409265658,6.082680719944399,3.12256864099346,2.585311830041958,0.41383166545922956,0.08567291720446746,0.3319448667895133,0.3492240973991499,0.03980169250271826,0.3121159368322793,0
YAL011W,0,-0.0022222222222222,0.3636627796241328,1.47,0.0,0.1875913220932047,-0.3371389262462924,3,26.93467336683417,0.3467756058211437,6.182471150236177,0.0074029219028509,0.0122549966555826,1.7395609845093518e-17,0.0,0.2586932975981832,1.03,0.25,-0.3124178193070898,0.1769994433603773,6,20.452261306532662,0.4162958195146721,4.469660344032405,0.0494823933757976,0.0091022780272054,2.0524524167010307e-10,0.0006666666666666,0.3911600979422904,1.35,0.1176470588235294,-0.1002486237882943,0.3363333909916393,5,24.07035175879397,0.3906746220929065,9.848604537850017,0.5729252994987026,0.0023962759864358,4.145817823433604e-20,-0.0007142857142857,0.121623792650844,0.43,0.0,0.272795630601528,-0.5139275183321147,2,148.69346733668343,0.6597369768510322,1.3170002744531064,0.0660929213064631,0.0026832595249808,1.4602357898792206e-22,-0.0750250403340598,0.20490559979767833,-0.3124178193070898,0.058731302701908066,0.287380996057575,-0.3371389262462924,6.833578677372866,2.243689806096435,4.469660344032405,0.3845820158095741,0.028706618476015126,0.3467756058211437,0.33783872505486884,0.05707903668977273,0.2586932975981832,0
